isocntry,lgbt_rights,age,lgbt_friends,religion,discrim_percep,sastisfaction,discrim_exp,online_activism,antidiscrim_eff,left_right,marital,gender,education,occupation,urban,mobile,fin_hardship,internet,social_class,voice_country,opinion_leader,interview_size,cooperation,min_ethnic,min_skin,min_religion,min_sexual,min_roma,w1,lgbt_power,gdp_pc,free_expr,polarisation,hate_speech,educ_equality
BE,1,56,1,13,3,3,0,0,7,5,3,1,3,2,3,1,2,1,2,2,2,1,2,0,0,0,0,0,0.8036,2.384,96.77,0.973,-1.717,0.364,2.52
BE,3,80,0,1,1,2,0,0,10,8,2,1,2,7,2,1,2,4,3,4,3,1,3,0,0,0,0,0,0.5808,2.384,96.77,0.973,-1.717,0.364,2.52
BE,1,17,1,14,2,2,0,0,5,5,1,0,4,8,3,1,2,1,2,3,2,1,1,0,0,0,0,0,0.8802,2.384,96.77,0.973,-1.717,0.364,2.52
BE,1,58,1,1,5,2,0,0,8,3,2,1,3,3,3,1,2,1,2,4,2,1,2,0,0,0,0,0,0.8036,2.384,96.77,0.973,-1.717,0.364,2.52
BE,1,64,1,1,2,3,0,1,7,3,3,0,3,6,3,1,2,1,2,2,2,1,1,0,0,0,0,0,0.6459,2.384,96.77,0.973,-1.717,0.364,2.52
BE,2,68,0,1,2,2,0,0,7,8,2,1,2,7,2,1,3,2,3,2,2,1,1,0,0,0,0,0,0.5808,2.384,96.77,0.973,-1.717,0.364,2.52
BE,4,47,0,12,2,2,0,1,1,10,3,1,3,6,2,1,1,1,3,4,2,2,1,0,0,0,0,0,1.0214,2.384,96.77,0.973,-1.717,0.364,2.52
BE,1,28,1,1,1,2,0,1,4,6,1,0,3,4,3,1,2,1,3,2,2,1,1,0,0,0,0,0,1.0263,2.384,96.77,0.973,-1.717,0.364,2.52
BE,1,22,1,13,2,2,0,0,5,5,1,1,4,8,2,1,3,1,3,3,2,1,2,0,0,0,0,0,0.8291,2.384,96.77,0.973,-1.717,0.364,2.52
BE,1,20,1,14,2,2,0,0,6,7,2,1,4,8,3,1,3,1,4,2,1,1,1,0,0,0,0,0,0.8291,2.384,96.77,0.973,-1.717,0.364,2.52
BE,1,44,1,13,2,3,0,1,6,5,1,0,2,3,3,1,2,1,2,4,2,1,1,0,0,0,0,0,1.0313,2.384,96.77,0.973,-1.717,0.364,2.52
BE,5,52,1,1,1,2,0,0,5,4,3,0,2,3,1,1,3,1,3,2,2,1,1,0,0,0,0,0,1.0313,2.384,96.77,0.973,-1.717,0.364,2.52
